"Date","Order ID","Type","Detail","Item ID","Document","Price","AU RWT","US RWT","US BWT","Sales Tax Amount","Sales Tax Type","Amount","Site","Other Party Country","Other Party Region","Other Party City","Other Party Zipcode"
"2022-04-13 21:55:43 +1000","161856113","Author Fee","Author Fee for included support sale IVIP47300328","36906743","","2.25","","","","","","-2.25","ThemeForest","","","",""
"2022-04-13 21:55:43 +1000","161856113","Author Fee","Author Fee for sale IVIP47300328","36906743","","3.75","","","","","","-3.75","ThemeForest","","","",""
"2022-04-13 21:55:43 +1000","161856113","Sale","Ciscryp - NFT Marketplace React Template (6 months included support)","36906743","IVIP47300328","7.50","","","","","","7.50","ThemeForest","Pakistan","","Drancy",""
"2022-04-13 21:55:43 +1000","161856113","Sale","Ciscryp - NFT Marketplace React Template (Regular License)","36906743","IVIP47300328","12.50","","","","","","12.50","ThemeForest","Pakistan","","Drancy",""
"2022-04-13 18:10:47 +1000","161846736","Author Fee","Author Fee for extended support sale IVIP47298146","34122841","","3.04","","","","","","-3.04","ThemeForest","","","",""
"2022-04-13 18:10:47 +1000","161846736","Author Fee","Author Fee for included support sale IVIP47298146","34122841","","3.04","","","","","","-3.04","ThemeForest","","","",""
"2022-04-13 18:10:47 +1000","161846736","Author Fee","Author Fee for sale IVIP47298146","34122841","","5.06","","","","","","-5.06","ThemeForest","","","",""
"2022-04-13 18:10:47 +1000","161846736","Sale","Ncmaz - Blog Magazine WordPress Theme (6 months extended support)","34122841","IVIP47298146","10.13","","","","","","10.13","ThemeForest","United Arab Emirates","Dubai","Dubai",""
"2022-04-13 18:10:47 +1000","161846736","Sale","Ncmaz - Blog Magazine WordPress Theme (6 months included support)","34122841","IVIP47298146","10.13","","","","","","10.13","ThemeForest","United Arab Emirates","Dubai","Dubai",""
"2022-04-13 18:10:47 +1000","161846736","Sale","Ncmaz - Blog Magazine WordPress Theme (Regular License)","34122841","IVIP47298146","16.87","","","","","","16.87","ThemeForest","United Arab Emirates","Dubai","Dubai",""
"2022-04-13 17:53:02 +1000","161845261","Sale Reversal","Reversal of Ciscryp - NFT Marketplace React Template (6 months included support)","36906743","CNIP422163","7.50","","2.25","","","","-5.25","ThemeForest","United States","Florida","Boca Raton","33432"
"2022-04-13 17:53:02 +1000","161845261","Sale Reversal","Reversal of Ciscryp - NFT Marketplace React Template (Regular License)","36906743","CNIP422163","12.50","","3.75","","","","-8.75","ThemeForest","United States","Florida","Boca Raton","33432"
"2022-04-13 17:53:02 +1000","161845261","Author Fee Reversal","Reversal of Author Fee for included support sale IVIP47297827","36906743","","2.25","","","","","","2.25","ThemeForest","","","",""
"2022-04-13 17:53:02 +1000","161845261","Author Fee Reversal","Reversal of Author Fee for sale IVIP47297827","36906743","","3.75","","","","","","3.75","ThemeForest","","","",""
"2022-04-13 17:33:26 +1000","161845261","Author Fee","Author Fee for included support sale IVIP47297827","36906743","","2.25","","","","","","-2.25","ThemeForest","","","",""
"2022-04-13 17:33:26 +1000","161845261","Author Fee","Author Fee for sale IVIP47297827","36906743","","3.75","","","","","","-3.75","ThemeForest","","","",""
"2022-04-13 17:33:26 +1000","161845261","Sale","Ciscryp - NFT Marketplace React Template (6 months included support)","36906743","IVIP47297827","7.50","","2.25","","","","5.25","ThemeForest","United States","Florida","Boca Raton","33432"
"2022-04-13 17:33:26 +1000","161845261","Sale","Ciscryp - NFT Marketplace React Template (Regular License)","36906743","IVIP47297827","12.50","","3.75","","","","8.75","ThemeForest","United States","Florida","Boca Raton","33432"
"2022-04-13 10:56:48 +1000","161835642","Author Fee","Author Fee for included support sale IVIP47295575","36906743","","2.25","","","","","","-2.25","ThemeForest","","","",""
"2022-04-13 10:56:48 +1000","161835642","Author Fee","Author Fee for sale IVIP47295575","36906743","","3.75","","","","","","-3.75","ThemeForest","","","",""
"2022-04-13 10:56:48 +1000","161835642","Sale","Ciscryp - NFT Marketplace React Template (6 months included support)","36906743","IVIP47295575","7.50","","2.25","","","","5.25","ThemeForest","United States","Washington","BELLEVUE","98006"
"2022-04-13 10:56:48 +1000","161835642","Sale","Ciscryp - NFT Marketplace React Template (Regular License)","36906743","IVIP47295575","12.50","","3.75","","","","8.75","ThemeForest","United States","Washington","BELLEVUE","98006"
"2022-04-13 10:56:47 +1000","161835642","Author Fee","Author Fee for included support sale IVIP47295573","33515927","","2.81","","","","","","-2.81","ThemeForest","","","",""
"2022-04-13 10:56:47 +1000","161835642","Author Fee","Author Fee for sale IVIP47295573","33515927","","4.69","","","","","","-4.69","ThemeForest","","","",""
"2022-04-13 10:56:47 +1000","161835642","Sale","Chisfis - Online Booking React Template (6 months included support)","33515927","IVIP47295573","9.38","","2.81","","","","6.57","ThemeForest","United States","Washington","BELLEVUE","98006"
